,Country,Summer_gold,Summer_silver,Summer_bronze,Summer_total,Winter_gold,Winter_silver,Winter_bronze,Winter_total,Num_of_Games,total_gold,total_silver,total_bronze,Combined total
146,Totals,4809,4775,5130,14714,959,958,948,2865,49,5768,5733,6078,17579
49,Great Britain   ,236,272,272,780,10,4,12,26,49,246,276,284,806
41,France    ,202,223,246,671,31,31,47,109,49,233,254,293,780
121,Switzerland ,47,73,65,185,50,40,48,138,49,97,113,113,323
120,Sweden  ,143,164,176,483,50,40,54,144,48,193,204,230,627
64,Italy   ,198,166,185,549,37,34,43,114,48,235,200,228,663
6,Austria ,18,33,35,86,59,78,81,218,48,77,111,116,304
135,United States     ,976,757,666,2399,96,102,84,282,48,1072,859,750,2681
56,Hungary ,167,144,165,476,0,2,4,6,47,167,146,169,482
21,Canada ,59,99,121,279,62,56,52,170,47,121,155,173,449
40,Finland ,101,84,117,302,42,62,57,161,46,143,146,174,463
93,Norway  ,56,49,43,148,118,111,100,329,46,174,160,143,477
88,Netherlands  ,77,85,104,266,37,38,35,110,45,114,123,139,376
50,Greece  ,30,42,39,111,0,0,0,0,45,30,42,39,111
12,Belgium ,37,52,53,142,1,1,3,5,45,38,53,56,147
5,Australia   ,139,152,177,468,5,3,4,12,43,144,155,181,480
99,Poland ,64,82,125,271,6,7,7,20,42,70,89,132,291
66,Japan ,130,126,142,398,10,17,18,45,41,140,143,160,443
2,Argentina ,18,24,28,70,0,0,0,0,41,18,24,28,70
116,Spain  ,37,59,35,131,1,0,1,2,41,38,59,36,133
103,Romania ,88,94,119,301,0,0,1,1,40,88,94,120,302
32,Denmark  ,43,68,68,179,0,1,0,1,39,43,69,68,180
22,Chile  ,2,7,4,13,0,0,0,0,38,2,7,4,13
18,Bulgaria  ,51,85,78,214,1,2,3,6,38,52,87,81,220
131,Turkey ,39,25,24,88,0,0,0,0,37,39,25,24,88
90,New Zealand  ,42,18,39,99,0,1,0,1,37,42,19,39,100
57,Iceland ,0,2,2,4,0,0,0,0,36,0,2,2,4
75,Liechtenstein ,0,0,0,0,2,2,5,9,34,2,2,5,9
70,South Korea ,81,82,80,243,26,17,10,53,33,107,99,90,296
58,India  ,9,6,11,26,0,0,0,0,32,9,6,11,26
74,Lebanon ,0,2,2,4,0,0,0,0,32,0,2,2,4
31,Czechoslovakia  ,49,49,45,143,2,8,15,25,32,51,57,60,168
141,Yugoslavia  ,26,29,28,83,0,3,1,4,30,26,32,29,87
81,Mexico ,13,21,28,62,0,0,0,0,30,13,21,28,62
100,Portugal ,4,8,11,23,0,0,0,0,30,4,8,11,23
77,Luxembourg  ,1,1,0,2,0,2,0,2,30,1,3,0,4
16,Brazil ,23,30,55,108,0,0,0,0,28,23,30,55,108
62,Ireland ,9,8,12,29,0,0,0,0,26,9,8,12,29
